canonical_smiles,ROS,CTX
Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,0.0,0.0
Cc1cccc(Nc2ccccc2C(=O)O)c1C,1.0,0.0
Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,0.0,0.0
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,1.0,1.0
Cc1occc(=O)c1O,0.0,
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,1.0,1.0
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,1.0,1.0
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12,0.0,1.0
Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1,1.0,1.0
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,0.0,0.0
N=C(N)N=C(N)NCCc1ccccc1,0.0,1.0
N=c1c2c([nH]c3ccccc13)CCCC2,1.0,1.0
NC(=O)c1cnccn1,0.0,0.0
NCC(CC(=O)O)c1ccc(Cl)cc1,0.0,0.0
NCC1(CC(=O)O)CCCCC1,0.0,0.0
NN=c1[nH]ncc2ccccc12,0.0,0.0
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,0.0,0.0
Nc1ccc(O)c(C(=O)O)c1,0.0,0.0
O=C(C(=O)C(O)O)C(O)O,0.0,0.0
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,1.0,1.0
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,0.0,0.0
O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,0.0,
O=C(O)CC(O)(CC(=O)O)C(=O)O,0.0,0.0
O=C(O)CCCCC(=O)O,0.0,0.0
O=C(O)CCCCC1SCC2NC(=O)NC21,0.0,0.0
O=C(O)c1cc(-c2ccccc2)nc2ccccc12,0.0,0.0
O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)N=c3cccc[nH]3)cc2)ccc1O,0.0,0.0
O=C(O)c1ccccc1,0.0,0.0
O=C(O)c1cccnc1,0.0,0.0
O=C(OCC(O)CO)c1ccccc1N=c1cc[nH]c2cc(Cl)ccc12,1.0,1.0
O=C1C(CCC(O)c2ccc(F)cc2)C(c2ccc(O)cc2)N1c1ccc(F)cc1,1.0,1.0
O=C1C(CO)OC(O)C(O)C1O,0.0,0.0
O=C1C=CC(=O)c2c1c(O)c1c(NCCNCCO)ccc(NCCNCCO)c1c2O,0.0,
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,0.0,1.0
O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,0.0,1.0
O=P1(N(CCCl)CCCl)NCCCO1,0.0,0.0
O=P1(NCCCl)OCCCN1CCCl,0.0,0.0
O=[PH](=O)(O)C(O)(Cn1ccnc1)[PH](=O)(=O)O,0.0,0.0
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,0.0,0.0
O=c1[nH]c(O)cn1N=Cc1ccc([N+](=O)[O-])o1,0.0,1.0
O=c1[nH]c2cc(Cl)ccc2o1,0.0,0.0
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1.0,1.0
O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,0.0,1.0
O=c1ccc2ccccc2o1,0.0,0.0
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,0.0,1.0
OCC(O)C(O)C(O)C(O)CO,0.0,0.0
OCC(O)C(O)C(O)CO,0.0,0.0
OCC(O)c1oc(O)c(O)c1O,1.0,0.0
OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,0.0,0.0
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0.0,1.0
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,0.0,1.0
Oc1ccccc1-c1ccccc1,0.0,1.0
S=c1[nH]cnc2[nH]cnc12,0.0,1.0
c1ccc2[nH]c(-c3cscn3)nc2c1,0.0,0.0
CC(=O)C(O)O,0.0,0.0
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,1.0,1.0
CC(=O)Nc1ccc(O)cc1,0.0,0.0
CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,0.0,1.0
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,0.0,1.0
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,1.0,1.0
CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,1.0,1.0
CC(Cn1cnc2c(=N)[nH]cnc21)OC[PH](=O)(=O)O,0.0,0.0
CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O,0.0,0.0
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,1.0,1.0
CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,0.0,0.0
CC1CC2OC3C(O)CC(C)(C34CO4)C2(CO)C(=O)C1=O,0.0,1.0
CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,1.0,1.0
CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,0.0,1.0
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,1.0,1.0
CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,0.0,0.0
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,0.0,1.0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,0.0,0.0
CCCC(CCC)C(=O)O,0.0,0.0
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0.0,0.0
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,1.0,1.0
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,0.0,1.0
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,0.0,0.0
CCOC(=O)C1=C(COCCN)N=C(C)C(C(=O)OC)C1c1ccccc1Cl,1.0,1.0
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,1.0,1.0
CN(C)C(N)=NC(=N)N,0.0,0.0
